name,ring,quadrant,isNew,description
Chat with your data,Investigation,Misc,TRUE,"Kunne stille natural langage spørsmål til ett dataset, og få svar i en chat format."
Status dashboard,Implementation,Platform/System,TRUE,Mulighet for å ha ett enhetlig dashbord på hele staken på ett sted. alla Status.io
Display metadata of data products from meta object in dbt (in allerts),Investigation,Platform/System,TRUE,
Define contracts/SLA dataproducts in code,Completed,Platform/System,TRUE,
"Cost moitoring of storrage and compute, based on tags for cost distribution",Completed,Platform/System,TRUE,
Calculate downstream dependensy on data failure,Investigation,Platform/System,TRUE,
Near realtime data transformation,Completed,Platform/System,TRUE,
Ability for high speed batch ingestion,Investigation,Data Integration,TRUE,
Ability to load dataset defined as public that is created/maintained by another team/project,Investigation,Ways of working,TRUE,
Ability to query dataset in snowflake defined as public by another team/project,Investigation,Ways of working,TRUE,
